  4.290pH         23.3øC 27-12-2003 14:43:27
  4.391pH         25.6øC 28-12-2003 02:32:57
  4.391pH         25.6øC 28-12-2003 02:33:27
  4.392pH         25.6øC 28-12-2003 02:33:57
  4.391pH         25.6øC 28-12-2003 02:34:27
  4.392pH         25.6øC 28-12-2003 02:34:57
  4.391pH         25.6øC 28-12-2003 02:35:27
  4.391pH         25.6øC 28-12-2003 02:35:57
  4.391pH         25.6øC 28-12-2003 02:36:27
  4.391pH         25.5øC 28-12-2003 02:36:57
  4.391pH         25.5øC 28-12-2003 02:37:27
  4.392pH         25.5øC 28-12-2003 02:37:57
  4.391pH         25.6øC 28-12-2003 02:38:27
  4.392pH         25.6øC 28-12-2003 02:38:57
  4.392pH         25.6øC 28-12-2003 02:39:27
  4.392pH         25.6øC 28-12-2003 02:39:57
  4.392pH         25.6øC 28-12-2003 02:40:27
  4.393pH         25.6øC 28-12-2003 02:40:57
  4.392pH         25.6øC 28-12-2003 02:41:27
  4.392pH         25.6øC 28-12-2003 02:41:57
  4.391pH         25.6øC 28-12-2003 02:42:27
  4.392pH         25.6øC 28-12-2003 02:42:57
  4.392pH         25.5øC 28-12-2003 02:43:27
  4.392pH         25.5øC 28-12-2003 02:43:57
  4.392pH         25.5øC 28-12-2003 02:44:27
  4.392pH         25.5øC 28-12-2003 02:44:57
  4.392pH         25.5øC 28-12-2003 02:45:27
  4.392pH         25.5øC 28-12-2003 02:45:57
  4.392pH         25.5øC 28-12-2003 02:46:27
  4.392pH         25.5øC 28-12-2003 02:46:57
  4.392pH         25.5øC 28-12-2003 02:47:27
  4.392pH         25.5øC 28-12-2003 02:47:57
  4.392pH         25.5øC 28-12-2003 02:48:27
  4.392pH         25.5øC 28-12-2003 02:48:57
  4.392pH         25.5øC 28-12-2003 02:49:27
  4.392pH         25.5øC 28-12-2003 02:49:57
  4.392pH         25.5øC 28-12-2003 02:50:27
  4.392pH         25.5øC 28-12-2003 02:50:57
  4.392pH         25.5øC 28-12-2003 02:51:27
  4.392pH         25.5øC 28-12-2003 02:51:57
  4.392pH         25.5øC 28-12-2003 02:52:27
  4.392pH         25.5øC 28-12-2003 02:52:57
  4.392pH         25.5øC 28-12-2003 02:53:27
  4.392pH         25.5øC 28-12-2003 02:53:57
  4.392pH         25.5øC 28-12-2003 02:54:27
  4.393pH         25.5øC 28-12-2003 02:54:57
  4.393pH         25.5øC 28-12-2003 02:55:27
  4.392pH         25.5øC 28-12-2003 02:55:57
  4.392pH         25.5øC 28-12-2003 02:56:27
  4.392pH         25.5øC 28-12-2003 02:56:57
  4.392pH         25.5øC 28-12-2003 02:57:27
  4.392pH         25.5øC 28-12-2003 02:57:57
  4.392pH         25.5øC 28-12-2003 02:58:27
  4.393pH         25.5øC 28-12-2003 02:58:57
  4.392pH         25.5øC 28-12-2003 02:59:27
  4.392pH         25.5øC 28-12-2003 02:59:57
  4.393pH         25.5øC 28-12-2003 03:00:27
  4.392pH         25.5øC 28-12-2003 03:00:57
  4.393pH         25.5øC 28-12-2003 03:01:27
  4.392pH         25.5øC 28-12-2003 03:01:57
  4.392pH         25.5øC 28-12-2003 03:02:27
  4.392pH         25.5øC 28-12-2003 03:02:57
  4.392pH         25.5øC 28-12-2003 03:03:27
  4.392pH         25.5øC 28-12-2003 03:03:57
  4.393pH         25.5øC 28-12-2003 03:04:27
  4.392pH         25.5øC 28-12-2003 03:04:57
  4.393pH         25.5øC 28-12-2003 03:05:27
  4.393pH         25.5øC 28-12-2003 03:05:57
  4.392pH         25.5øC 28-12-2003 03:06:27
  4.392pH         25.5øC 28-12-2003 03:06:57
  4.393pH         25.5øC 28-12-2003 03:07:27
  4.393pH         25.5øC 28-12-2003 03:07:57
  4.393pH         25.5øC 28-12-2003 03:08:27
  4.392pH         25.5øC 28-12-2003 03:08:57
  4.393pH         25.5øC 28-12-2003 03:09:27
  4.393pH         25.5øC 28-12-2003 03:09:57
  4.393pH         25.5øC 28-12-2003 03:10:27
  4.393pH         25.5øC 28-12-2003 03:10:57
  4.393pH         25.5øC 28-12-2003 03:11:27
  4.393pH         25.5øC 28-12-2003 03:11:57
  4.393pH         25.5øC 28-12-2003 03:12:27
  4.392pH         25.5øC 28-12-2003 03:12:57
  4.393pH         25.5øC 28-12-2003 03:13:27
  4.393pH         25.5øC 28-12-2003 03:13:57
  4.393pH         25.5øC 28-12-2003 03:14:27
  4.393pH         25.5øC 28-12-2003 03:14:57
  4.393pH         25.5øC 28-12-2003 03:15:27
  4.393pH         25.5øC 28-12-2003 03:15:57
  4.393pH         25.5øC 28-12-2003 03:16:27
  4.393pH         25.5øC 28-12-2003 03:16:57
  4.393pH         25.5øC 28-12-2003 03:17:27
  4.393pH         25.5øC 28-12-2003 03:17:57
  4.393pH         25.5øC 28-12-2003 03:18:27
  4.393pH         25.5øC 28-12-2003 03:18:57
  4.393pH         25.5øC 28-12-2003 03:19:27
  4.393pH         25.5øC 28-12-2003 03:19:57
  4.394pH         25.5øC 28-12-2003 03:20:27
  4.394pH         25.5øC 28-12-2003 03:20:57
  4.393pH         25.5øC 28-12-2003 03:21:27
  4.393pH         25.5øC 28-12-2003 03:21:57
  4.393pH         25.5øC 28-12-2003 03:22:27
  4.393pH         25.5øC 28-12-2003 03:22:57
  4.393pH         25.5øC 28-12-2003 03:23:27
  4.393pH         25.5øC 28-12-2003 03:23:57
  4.393pH         25.5øC 28-12-2003 03:24:27
  4.393pH         25.5øC 28-12-2003 03:24:57
  4.393pH         25.5øC 28-12-2003 03:25:27
  4.393pH         25.5øC 28-12-2003 03:25:57
  4.393pH         25.5øC 28-12-2003 03:26:27
  4.393pH         25.5øC 28-12-2003 03:26:57
  4.393pH         25.5øC 28-12-2003 03:27:27
  4.393pH         25.5øC 28-12-2003 03:27:57
  4.393pH         25.5øC 28-12-2003 03:28:27
  4.394pH         25.5øC 28-12-2003 03:28:57
  4.393pH         25.5øC 28-12-2003 03:29:27
  4.393pH         25.5øC 28-12-2003 03:29:57
  4.393pH         25.5øC 28-12-2003 03:30:27
  4.393pH         25.5øC 28-12-2003 03:30:57
  4.393pH         25.5øC 28-12-2003 03:31:27
  4.393pH         25.5øC 28-12-2003 03:31:57
  4.393pH         25.5øC 28-12-2003 03:32:27
  4.393pH         25.5øC 28-12-2003 03:32:57
  4.393pH         25.5øC 28-12-2003 03:33:27
  4.393pH         25.5øC 28-12-2003 03:33:57
  4.394pH         25.5øC 28-12-2003 03:34:27
  4.393pH         25.5øC 28-12-2003 03:34:57
  4.393pH         25.5øC 28-12-2003 03:35:27
  4.394pH         25.5øC 28-12-2003 03:35:57
  4.395pH         25.5øC 28-12-2003 03:36:27
  4.394pH         25.5øC 28-12-2003 03:36:57
  4.394pH         25.5øC 28-12-2003 03:37:27
  4.393pH         25.5øC 28-12-2003 03:37:57
  4.394pH         25.5øC 28-12-2003 03:38:27
  4.393pH         25.5øC 28-12-2003 03:38:57
  4.393pH         25.5øC 28-12-2003 03:39:27
  4.393pH         25.5øC 28-12-2003 03:39:57
  4.393pH         25.5øC 28-12-2003 03:40:27
  4.394pH         25.5øC 28-12-2003 03:40:57
  4.394pH         25.5øC 28-12-2003 03:41:27
  4.394pH         25.5øC 28-12-2003 03:41:57
  4.394pH         25.5øC 28-12-2003 03:42:27
  4.393pH         25.5øC 28-12-2003 03:42:57
  4.393pH         25.5øC 28-12-2003 03:43:27
  4.394pH         25.5øC 28-12-2003 03:43:57
  4.394pH         25.5øC 28-12-2003 03:44:27
  4.394pH         25.5øC 28-12-2003 03:44:57
  4.394pH         25.5øC 28-12-2003 03:45:27
  4.394pH         25.5øC 28-12-2003 03:45:57
  4.394pH         25.5øC 28-12-2003 03:46:27
  4.394pH         25.5øC 28-12-2003 03:46:57
  4.394pH         25.5øC 28-12-2003 03:47:27
  4.394pH         25.5øC 28-12-2003 03:47:57
  4.395pH         25.5øC 28-12-2003 03:48:27
  4.395pH         25.5øC 28-12-2003 03:48:57
  4.394pH         25.5øC 28-12-2003 03:49:27
  4.394pH         25.5øC 28-12-2003 03:49:57
  4.394pH         25.5øC 28-12-2003 03:50:27
  4.395pH         25.5øC 28-12-2003 03:50:57
  4.394pH         25.5øC 28-12-2003 03:51:27
  4.394pH         25.5øC 28-12-2003 03:51:57
  4.394pH         25.5øC 28-12-2003 03:52:27
  4.394pH         25.5øC 28-12-2003 03:52:57
  4.394pH         25.5øC 28-12-2003 03:53:27
  4.394pH         25.5øC 28-12-2003 03:53:57
  4.394pH         25.5øC 28-12-2003 03:54:27
  4.394pH         25.5øC 28-12-2003 03:54:57
  4.394pH         25.5øC 28-12-2003 03:55:27
  4.395pH         25.5øC 28-12-2003 03:55:57
  4.394pH         25.5øC 28-12-2003 03:56:27
  4.394pH         25.5øC 28-12-2003 03:56:57
  4.395pH         25.5øC 28-12-2003 03:57:27
  4.394pH         25.5øC 28-12-2003 03:57:57
  4.395pH         25.5øC 28-12-2003 03:58:27
  4.394pH         25.5øC 28-12-2003 03:58:57
  4.394pH         25.5øC 28-12-2003 03:59:27
  4.394pH         25.5øC 28-12-2003 03:59:57
  4.395pH         25.5øC 28-12-2003 04:00:27
  4.394pH         25.5øC 28-12-2003 04:00:57
  4.395pH         25.5øC 28-12-2003 04:01:27
  4.395pH         25.5øC 28-12-2003 04:01:57
  4.394pH         25.5øC 28-12-2003 04:02:27
  4.394pH         25.5øC 28-12-2003 04:02:57
  4.395pH         25.5øC 28-12-2003 04:03:27
  4.394pH         25.5øC 28-12-2003 04:03:57
  4.394pH         25.5øC 28-12-2003 04:04:27
  4.395pH         25.5øC 28-12-2003 04:04:57
  4.395pH         25.5øC 28-12-2003 04:05:27
  4.394pH         25.5øC 28-12-2003 04:05:57
  4.395pH         25.5øC 28-12-2003 04:06:27
  4.395pH         25.5øC 28-12-2003 04:06:57
  4.395pH         25.5øC 28-12-2003 04:07:27
  4.395pH         25.5øC 28-12-2003 04:07:57
  4.395pH         25.5øC 28-12-2003 04:08:27
  4.395pH         25.5øC 28-12-2003 04:08:57
  4.395pH         25.5øC 28-12-2003 04:09:27
  4.395pH         25.5øC 28-12-2003 04:09:57
  4.395pH         25.5øC 28-12-2003 04:10:27
  4.395pH         25.5øC 28-12-2003 04:10:57
  4.395pH         25.5øC 28-12-2003 04:11:27
  4.395pH         25.5øC 28-12-2003 04:11:57
  4.395pH         25.5øC 28-12-2003 04:12:27
  4.395pH         25.5øC 28-12-2003 04:12:57
  4.395pH         25.5øC 28-12-2003 04:13:27
  4.395pH         25.5øC 28-12-2003 04:13:57
  4.395pH         25.5øC 28-12-2003 04:14:27
  4.395pH         25.5øC 28-12-2003 04:14:57
  4.395pH         25.5øC 28-12-2003 04:15:27
  4.394pH         25.5øC 28-12-2003 04:15:57
  4.395pH         25.5øC 28-12-2003 04:16:27
  4.395pH         25.5øC 28-12-2003 04:16:57
  4.396pH         25.5øC 28-12-2003 04:17:27
  4.395pH         25.5øC 28-12-2003 04:17:57
  4.395pH         25.5øC 28-12-2003 04:18:27
  4.395pH         25.5øC 28-12-2003 04:18:57
  4.395pH         25.5øC 28-12-2003 04:19:27
  4.395pH         25.5øC 28-12-2003 04:19:57
  4.395pH         25.5øC 28-12-2003 04:20:27
  4.395pH         25.5øC 28-12-2003 04:20:57
  4.395pH         25.5øC 28-12-2003 04:21:27
  4.395pH         25.5øC 28-12-2003 04:21:57
  4.395pH         25.5øC 28-12-2003 04:22:27
  4.395pH         25.5øC 28-12-2003 04:22:57
  4.395pH         25.5øC 28-12-2003 04:23:27
  4.395pH         25.5øC 28-12-2003 04:23:57
  4.395pH         25.5øC 28-12-2003 04:24:27
  4.394pH         25.5øC 28-12-2003 04:24:57
  4.395pH         25.5øC 28-12-2003 04:25:27
  4.395pH         25.5øC 28-12-2003 04:25:57
  4.395pH         25.5øC 28-12-2003 04:26:27
  4.395pH         25.5øC 28-12-2003 04:26:57
  4.395pH         25.5øC 28-12-2003 04:27:27
  4.395pH         25.5øC 28-12-2003 04:27:57
  4.395pH         25.5øC 28-12-2003 04:28:27
  4.396pH         25.5øC 28-12-2003 04:28:57
  4.396pH         25.5øC 28-12-2003 04:29:27
  4.395pH         25.5øC 28-12-2003 04:29:57
  4.395pH         25.5øC 28-12-2003 04:30:27
  4.395pH         25.5øC 28-12-2003 04:30:57
  4.396pH         25.5øC 28-12-2003 04:31:27
  4.395pH         25.5øC 28-12-2003 04:31:57
  4.395pH         25.5øC 28-12-2003 04:32:27
  4.395pH         25.5øC 28-12-2003 04:32:57
  4.396pH         25.5øC 28-12-2003 04:33:27
  4.395pH         25.5øC 28-12-2003 04:33:57
  4.395pH         25.5øC 28-12-2003 04:34:27
  4.395pH         25.5øC 28-12-2003 04:34:57
  4.395pH         25.5øC 28-12-2003 04:35:27
  4.396pH         25.5øC 28-12-2003 04:35:57
  4.396pH         25.5øC 28-12-2003 04:36:27
  4.396pH         25.5øC 28-12-2003 04:36:57
  4.396pH         25.5øC 28-12-2003 04:37:27
  4.395pH         25.5øC 28-12-2003 04:37:57
  4.396pH         25.5øC 28-12-2003 04:38:27
  4.396pH         25.5øC 28-12-2003 04:38:57
  4.396pH         25.5øC 28-12-2003 04:39:27
  4.396pH         25.5øC 28-12-2003 04:39:57
  4.396pH         25.5øC 28-12-2003 04:40:27
  4.395pH         25.5øC 28-12-2003 04:40:57
  4.396pH         25.5øC 28-12-2003 04:41:27
  4.396pH         25.5øC 28-12-2003 04:41:57
  4.396pH         25.5øC 28-12-2003 04:42:27
  4.396pH         25.5øC 28-12-2003 04:42:57
  4.395pH         25.5øC 28-12-2003 04:43:27
  4.395pH         25.5øC 28-12-2003 04:43:57
  4.395pH         25.5øC 28-12-2003 04:44:27
  4.395pH         25.5øC 28-12-2003 04:44:57
  4.396pH         25.5øC 28-12-2003 04:45:27
  4.395pH         25.5øC 28-12-2003 04:45:57
  4.395pH         25.5øC 28-12-2003 04:46:27
  4.396pH         25.5øC 28-12-2003 04:46:57
  4.395pH         25.5øC 28-12-2003 04:47:27
  4.395pH         25.5øC 28-12-2003 04:47:57
  4.395pH         25.5øC 28-12-2003 04:48:27
  4.396pH         25.5øC 28-12-2003 04:48:57
  4.396pH         25.5øC 28-12-2003 04:49:27
  4.396pH         25.5øC 28-12-2003 04:49:57
  4.396pH         25.5øC 28-12-2003 04:50:27
  4.396pH         25.5øC 28-12-2003 04:50:57
  4.396pH         25.5øC 28-12-2003 04:51:27
  4.396pH         25.5øC 28-12-2003 04:51:57
  4.396pH         25.5øC 28-12-2003 04:52:27
  4.396pH         25.5øC 28-12-2003 04:52:57
  4.396pH         25.5øC 28-12-2003 04:53:27
  4.396pH         25.5øC 28-12-2003 04:53:57
  4.396pH         25.5øC 28-12-2003 04:54:27
  4.396pH         25.5øC 28-12-2003 04:54:57
  4.396pH         25.5øC 28-12-2003 04:55:27
  4.396pH         25.5øC 28-12-2003 04:55:57
  4.396pH         25.5øC 28-12-2003 04:56:27
  4.396pH         25.5øC 28-12-2003 04:56:57
  4.396pH         25.5øC 28-12-2003 04:57:27
  4.396pH         25.5øC 28-12-2003 04:57:57
  4.396pH         25.5øC 28-12-2003 04:58:27
  4.396pH         25.5øC 28-12-2003 04:58:57
  4.396pH         25.5øC 28-12-2003 04:59:27
  4.396pH         25.5øC 28-12-2003 04:59:57
  4.396pH         25.5øC 28-12-2003 05:00:27
  4.396pH         25.5øC 28-12-2003 05:00:57
  4.396pH         25.5øC 28-12-2003 05:01:27
  4.395pH         25.5øC 28-12-2003 05:01:57
  4.396pH         25.5øC 28-12-2003 05:02:27
  4.396pH         25.5øC 28-12-2003 05:02:57
  4.395pH         25.5øC 28-12-2003 05:03:27
  4.395pH         25.5øC 28-12-2003 05:03:57
  4.395pH         25.5øC 28-12-2003 05:04:27
  4.396pH         25.5øC 28-12-2003 05:04:57
  4.396pH         25.5øC 28-12-2003 05:05:27
  4.395pH         25.5øC 28-12-2003 05:05:57
  4.396pH         25.5øC 28-12-2003 05:06:27
  4.396pH         25.5øC 28-12-2003 05:06:57
  4.396pH         25.5øC 28-12-2003 05:07:27
  4.396pH         25.5øC 28-12-2003 05:07:57
  4.396pH         25.5øC 28-12-2003 05:08:27
  4.395pH         25.5øC 28-12-2003 05:08:57
  4.395pH         25.5øC 28-12-2003 05:09:27
  4.395pH         25.5øC 28-12-2003 05:09:57
  4.396pH         25.5øC 28-12-2003 05:10:27
  4.395pH         25.5øC 28-12-2003 05:10:57
  4.396pH         25.5øC 28-12-2003 05:11:27
  4.396pH         25.5øC 28-12-2003 05:11:57
  4.396pH         25.5øC 28-12-2003 05:12:27
  4.396pH         25.5øC 28-12-2003 05:12:57
  4.395pH         25.5øC 28-12-2003 05:13:27
  4.396pH         25.5øC 28-12-2003 05:13:57
  4.396pH         25.5øC 28-12-2003 05:14:27
  4.395pH         25.5øC 28-12-2003 05:14:57
  4.396pH         25.5øC 28-12-2003 05:15:27
  4.395pH         25.5øC 28-12-2003 05:15:57
  4.395pH         25.5øC 28-12-2003 05:16:27
  4.395pH         25.5øC 28-12-2003 05:16:57
  4.396pH         25.6øC 28-12-2003 05:17:27
  4.396pH         25.6øC 28-12-2003 05:17:57
  4.396pH         25.6øC 28-12-2003 05:18:27
  4.395pH         25.6øC 28-12-2003 05:18:57
  4.396pH         25.6øC 28-12-2003 05:19:27
  4.396pH         25.6øC 28-12-2003 05:19:57
  4.396pH         25.6øC 28-12-2003 05:20:27
  4.396pH         25.6øC 28-12-2003 05:20:57
  4.396pH         25.6øC 28-12-2003 05:21:27
  4.396pH         25.6øC 28-12-2003 05:21:57
  4.396pH         25.6øC 28-12-2003 05:22:27
  4.396pH         25.6øC 28-12-2003 05:22:57
  4.396pH         25.6øC 28-12-2003 05:23:27
  4.396pH         25.6øC 28-12-2003 05:23:57
  4.396pH         25.6øC 28-12-2003 05:24:27
  4.396pH         25.6øC 28-12-2003 05:24:57
  4.395pH         25.5øC 28-12-2003 05:25:27
  4.396pH         25.6øC 28-12-2003 05:25:57
  4.396pH         25.6øC 28-12-2003 05:26:27
  4.396pH         25.6øC 28-12-2003 05:26:57
  4.396pH         25.6øC 28-12-2003 05:27:27
  4.395pH         25.5øC 28-12-2003 05:27:57
  4.395pH         25.5øC 28-12-2003 05:28:27
  4.395pH         25.5øC 28-12-2003 05:28:57
  4.395pH         25.5øC 28-12-2003 05:29:27
  4.395pH         25.5øC 28-12-2003 05:29:57
  4.395pH         25.6øC 28-12-2003 05:30:27
  4.395pH         25.6øC 28-12-2003 05:30:57
  4.396pH         25.6øC 28-12-2003 05:31:27
  4.395pH         25.5øC 28-12-2003 05:31:57
  4.396pH         25.6øC 28-12-2003 05:32:27
  4.396pH         25.6øC 28-12-2003 05:32:57
  4.396pH         25.6øC 28-12-2003 05:33:27
  4.396pH         25.5øC 28-12-2003 05:33:57
  4.395pH         25.6øC 28-12-2003 05:34:27
  4.396pH         25.6øC 28-12-2003 05:34:57
  4.395pH         25.6øC 28-12-2003 05:35:27
  4.395pH         25.6øC 28-12-2003 05:35:57
  4.396pH         25.6øC 28-12-2003 05:36:27
  4.396pH         25.6øC 28-12-2003 05:36:57
  4.396pH         25.6øC 28-12-2003 05:37:27
  4.396pH         25.6øC 28-12-2003 05:37:57
  4.396pH         25.6øC 28-12-2003 05:38:27
  4.396pH         25.6øC 28-12-2003 05:38:57
  4.396pH         25.6øC 28-12-2003 05:39:27
  4.396pH         25.6øC 28-12-2003 05:39:57
  4.396pH         25.6øC 28-12-2003 05:40:27
  4.396pH         25.6øC 28-12-2003 05:40:57
  4.396pH         25.6øC 28-12-2003 05:41:27
  4.396pH         25.6øC 28-12-2003 05:41:57
  4.396pH         25.6øC 28-12-2003 05:42:27
  4.396pH         25.6øC 28-12-2003 05:42:57
  4.396pH         25.6øC 28-12-2003 05:43:27
  4.396pH         25.6øC 28-12-2003 05:43:57
  4.396pH         25.6øC 28-12-2003 05:44:27
  4.396pH         25.6øC 28-12-2003 05:44:57
  4.396pH         25.6øC 28-12-2003 05:45:27
  4.396pH         25.6øC 28-12-2003 05:45:57
  4.396pH         25.6øC 28-12-2003 05:46:27
  4.396pH         25.6øC 28-12-2003 05:46:57
  4.396pH         25.6øC 28-12-2003 05:47:27
  4.396pH         25.6øC 28-12-2003 05:47:57
  4.396pH         25.6øC 28-12-2003 05:48:27
  4.397pH         25.6øC 28-12-2003 05:48:57
  4.397pH         25.6øC 28-12-2003 05:49:27
  4.396pH         25.6øC 28-12-2003 05:49:57
  4.396pH         25.5øC 28-12-2003 05:50:27
  4.396pH         25.6øC 28-12-2003 05:50:57
  4.397pH         25.6øC 28-12-2003 05:51:27
  4.397pH         25.6øC 28-12-2003 05:51:57
  4.397pH         25.6øC 28-12-2003 05:52:27
  4.397pH         25.6øC 28-12-2003 05:52:57
  4.396pH         25.6øC 28-12-2003 05:53:27
  4.397pH         25.6øC 28-12-2003 05:53:57
  4.397pH         25.5øC 28-12-2003 05:54:27
  4.396pH         25.6øC 28-12-2003 05:54:57
  4.396pH         25.6øC 28-12-2003 05:55:27
  4.396pH         25.6øC 28-12-2003 05:55:57
  4.397pH         25.6øC 28-12-2003 05:56:27
  4.396pH         25.6øC 28-12-2003 05:56:57
  4.397pH         25.6øC 28-12-2003 05:57:27
  4.396pH         25.6øC 28-12-2003 05:57:57
  4.397pH         25.6øC 28-12-2003 05:58:27
  4.396pH         25.6øC 28-12-2003 05:58:57
  4.397pH         25.6øC 28-12-2003 05:59:27
  4.397pH         25.6øC 28-12-2003 05:59:57
  4.396pH         25.6øC 28-12-2003 06:00:27
  4.397pH         25.6øC 28-12-2003 06:00:57
  4.396pH         25.6øC 28-12-2003 06:01:27
  4.396pH         25.6øC 28-12-2003 06:01:57
  4.397pH         25.6øC 28-12-2003 06:02:27
  4.396pH         25.6øC 28-12-2003 06:02:57
  4.396pH         25.6øC 28-12-2003 06:03:27
  4.396pH         25.6øC 28-12-2003 06:03:57
  4.396pH         25.6øC 28-12-2003 06:04:27
  4.396pH         25.6øC 28-12-2003 06:04:57
  4.396pH         25.6øC 28-12-2003 06:05:27
  4.396pH         25.6øC 28-12-2003 06:05:57
  4.396pH         25.6øC 28-12-2003 06:06:27
  4.396pH         25.6øC 28-12-2003 06:06:57
  4.397pH         25.6øC 28-12-2003 06:07:27
  4.397pH         25.6øC 28-12-2003 06:07:57
  4.396pH         25.6øC 28-12-2003 06:08:27
  4.396pH         25.6øC 28-12-2003 06:08:57
  4.396pH         25.6øC 28-12-2003 06:09:27
  4.396pH         25.6øC 28-12-2003 06:09:57
  4.396pH         25.6øC 28-12-2003 06:10:27
  4.396pH         25.6øC 28-12-2003 06:10:57
  4.396pH         25.6øC 28-12-2003 06:11:27
  4.396pH         25.6øC 28-12-2003 06:11:57
  4.396pH         25.6øC 28-12-2003 06:12:27
  4.396pH         25.6øC 28-12-2003 06:12:57
  4.397pH         25.6øC 28-12-2003 06:13:27
  4.396pH         25.6øC 28-12-2003 06:13:57
  4.397pH         25.6øC 28-12-2003 06:14:27
  4.396pH         25.6øC 28-12-2003 06:14:57
  4.397pH         25.6øC 28-12-2003 06:15:27
  4.397pH         25.6øC 28-12-2003 06:15:57
  4.396pH         25.6øC 28-12-2003 06:16:27
  4.396pH         25.6øC 28-12-2003 06:16:57
  4.397pH         25.6øC 28-12-2003 06:17:27
  4.396pH         25.6øC 28-12-2003 06:17:57
  4.396pH         25.6øC 28-12-2003 06:18:27
  4.396pH         25.6øC 28-12-2003 06:18:57
  4.397pH         25.6øC 28-12-2003 06:19:27
  4.397pH         25.6øC 28-12-2003 06:19:57
  4.396pH         25.6øC 28-12-2003 06:20:27
  4.396pH         25.5øC 28-12-2003 06:20:57
  4.396pH         25.5øC 28-12-2003 06:21:27
  4.396pH         25.5øC 28-12-2003 06:21:57
  4.395pH         25.5øC 28-12-2003 06:22:27
  4.396pH         25.5øC 28-12-2003 06:22:57
  4.396pH         25.5øC 28-12-2003 06:23:27
  4.396pH         25.5øC 28-12-2003 06:23:57
  4.396pH         25.5øC 28-12-2003 06:24:27
  4.396pH         25.6øC 28-12-2003 06:24:57
  4.396pH         25.6øC 28-12-2003 06:25:27
  4.396pH         25.6øC 28-12-2003 06:25:57
  4.396pH         25.6øC 28-12-2003 06:26:27
  4.396pH         25.6øC 28-12-2003 06:26:57
  4.396pH         25.6øC 28-12-2003 06:27:27
  4.396pH         25.6øC 28-12-2003 06:27:57
  4.396pH         25.6øC 28-12-2003 06:28:27
  4.396pH         25.6øC 28-12-2003 06:28:57
  4.396pH         25.6øC 28-12-2003 06:29:27
  4.396pH         25.6øC 28-12-2003 06:29:57
  4.397pH         25.6øC 28-12-2003 06:30:27
  4.396pH         25.6øC 28-12-2003 06:30:57
  4.396pH         25.6øC 28-12-2003 06:31:27
  4.396pH         25.6øC 28-12-2003 06:31:57
  4.396pH         25.6øC 28-12-2003 06:32:27
  4.396pH         25.6øC 28-12-2003 06:32:57
  4.397pH         25.6øC 28-12-2003 06:33:27
  4.396pH         25.6øC 28-12-2003 06:33:57
  4.396pH         25.6øC 28-12-2003 06:34:27
  4.396pH         25.6øC 28-12-2003 06:34:57
  4.396pH         25.6øC 28-12-2003 06:35:27
  4.397pH         25.6øC 28-12-2003 06:35:57
  4.397pH         25.6øC 28-12-2003 06:36:27
  4.397pH         25.6øC 28-12-2003 06:36:57
  4.396pH         25.6øC 28-12-2003 06:37:27
  4.397pH         25.6øC 28-12-2003 06:37:57
  4.396pH         25.6øC 28-12-2003 06:38:27
  4.396pH         25.6øC 28-12-2003 06:38:57
  4.397pH         25.6øC 28-12-2003 06:39:27
  4.397pH         25.6øC 28-12-2003 06:39:57
  4.396pH         25.6øC 28-12-2003 06:40:27
  4.397pH         25.6øC 28-12-2003 06:40:57
  4.396pH         25.6øC 28-12-2003 06:41:27
  4.397pH         25.6øC 28-12-2003 06:41:57
  4.397pH         25.6øC 28-12-2003 06:42:27
  4.397pH         25.6øC 28-12-2003 06:42:57
  4.397pH         25.6øC 28-12-2003 06:43:27
  4.397pH         25.6øC 28-12-2003 06:43:57
  4.396pH         25.6øC 28-12-2003 06:44:27
  4.397pH         25.6øC 28-12-2003 06:44:57
  4.397pH         25.6øC 28-12-2003 06:45:27
  4.397pH         25.6øC 28-12-2003 06:45:57
  4.397pH         25.6øC 28-12-2003 06:46:27
  4.397pH         25.6øC 28-12-2003 06:46:57
  4.397pH         25.6øC 28-12-2003 06:47:27
  4.397pH         25.6øC 28-12-2003 06:47:57
  4.397pH         25.6øC 28-12-2003 06:48:27
  4.397pH         25.6øC 28-12-2003 06:48:57
  4.397pH         25.6øC 28-12-2003 06:49:27
  4.397pH         25.6øC 28-12-2003 06:49:57
  4.397pH         25.7øC 28-12-2003 06:50:27
  4.397pH         25.6øC 28-12-2003 06:50:57
  4.397pH         25.6øC 28-12-2003 06:51:27
  4.397pH         25.7øC 28-12-2003 06:51:57
  4.397pH         25.7øC 28-12-2003 06:52:27
  4.397pH         25.7øC 28-12-2003 06:52:57
  4.397pH         25.7øC 28-12-2003 06:53:27
  4.398pH         25.7øC 28-12-2003 06:53:57
  4.397pH         25.7øC 28-12-2003 06:54:27
  4.397pH         25.7øC 28-12-2003 06:54:57
  4.396pH         25.7øC 28-12-2003 06:55:27
  4.397pH         25.7øC 28-12-2003 06:55:57
  4.396pH         25.7øC 28-12-2003 06:56:27
  4.396pH         25.7øC 28-12-2003 06:56:57
  4.396pH         25.7øC 28-12-2003 06:57:27
  4.397pH         25.7øC 28-12-2003 06:57:57
  4.397pH         25.7øC 28-12-2003 06:58:27
  4.397pH         25.7øC 28-12-2003 06:58:57
  4.397pH         25.7øC 28-12-2003 06:59:27
  4.397pH         25.7øC 28-12-2003 06:59:57
  4.397pH         25.7øC 28-12-2003 07:00:27
  4.397pH         25.7øC 28-12-2003 07:00:57
